Course Number,Course Abbreviation,Course Full Title,# of Credit Hours,Description,LA Common Course Number,Institution,Satellite Campus,Modality,Restricted (specify criteria),Corresponding HS Course Number,General Ed Course (Yes/No),Course Prerequisite,Cost per Course
256,CTEC,CCNA II ,4,"This course is the second in the CCNA series.  In this course, Switching, Routing, and Wireless Essentials (SRWE), we will cover the architecture, components, and operations of routers and switches in small-to-medium networks and introduce wireless local area networks (WLAN) and security concepts. In addition to learning, key switching and routing concepts, learners will be able to perform basic network configuration and troubleshooting, identify and mitigate LAN security threats, and configure and secure a basic WLAN along with security best practices and resolve common issues with protocols in both IPv4 and IPv6 networks.",,BPCC,,,,,,CTEC 255,170
256,CTEC,CCNA II ,4,"This course is the second in the CCNA series.  In this course, Switching, Routing, and Wireless Essentials (SRWE), we will cover the architecture, components, and operations of routers and switches in small-to-medium networks and introduce wireless local area networks (WLAN) and security concepts. In addition to learning, key switching and routing concepts, learners will be able to perform basic network configuration and troubleshooting, identify and mitigate LAN security threats, and configure and secure a basic WLAN along with security best practices and resolve common issues with protocols in both IPv4 and IPv6 networks.",,BPCC,,,,,,CTEC 255,150
246,ART,Ceramics I ,3,"An introductory course in pottery making, including the study and application of basic hand-building methods, firing, glazing, and an introduction to wheel throwing ceramic ware. ",,BPCC,,,,,,,170
247,ART,Ceramics II ,3,"A secondary course in pottery making with an emphasis on wheel throwing, advanced hand-building techniques, firing, and glazing ceramic ware. ",,BPCC,,,,,,ART 246,170
205,PSYC,Child Psychology,3,A study of the development of human behavior from conception through age twelve with emphasis on the physical cognitive and social-emotional development of the child. The Louisiana Statewide Common Course Catalog name and number for this course are CPSY 2313: Child Psychology.,CPSY 2313,BPCC,,online,,,Yes,,218
205,PSYC,Child Psychology ,3,A study of the development of human behavior from conception through age twelve with emphasis on the physical cognitive and social-emotional development of the child. The Louisiana Statewide Common Course Catalog name and number for this course are CPSY 2313: Child Psychology.,CPSY 2313,BPCC,,online,,,Yes,,218
263,CTEC,Cloud+,3,"This course covers fundamentals of cloud computing. Skills will be covered to understand standard cloud methodologies, implement, maintain, and deliver cloud technologies, and to understand aspects of IT security. Additionally, students will learn to use industry best practices related to cloud implementations. This class will help students gain the skills required for the nationally recognized CompTIA Cloud+ certification exam.",,BPCC,,online,,,,CTEC 155,150
102,MATH,College Algebra ,3,"Topics from algebra including complex numbers; radical and rational equations; linear and quadratic equations and inequalities; absolute value equations and inequalities; lines and slope; graphs; inverse, exponential, and logarithmic functions; systems of equations and inequalities; conics; applications. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 1213: College Algebra.",CMAT 1213,BPCC,,On Campus,,Math,Yes,MATH 099,250
102,MATH,College Algebra ,3,"Topics from algebra including complex numbers; radical and rational equations; linear and quadratic equations and inequalities; absolute value equations and inequalities; lines and slope; graphs; inverse, exponential, and logarithmic functions; systems of equations and inequalities; conics; applications. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 1213: College Algebra.",CMAT 1213,BPCC,,online,,Math,Yes,MATH 099,250
101,ENGL,Composition & Rhetoric I ,3,Introductory course in writing including study of selected readings; emphasis on basic rhetorical methods. CLEP credit accepted. The Louisiana Statewide Common Course Catalog name and number for this course are CENL 1013: English Composition I.,CENL 1013,BPCC,,On Campus,,English,Yes,ENGL 099,179
101,ENGL,Composition and Rhetoric I ,3,Introductory course in writing including study of selected readings; emphasis on basic rhetorical methods. CLEP credit accepted. The Louisiana Statewide Common Course Catalog name and number for this course are CENL 1013: English Composition I.,CENL 1013,BPCC,,online,,English,Yes,ENGL 099,179
101,ENGL,Composition & Rhetoric I,3,Introductory course in writing including study of selected readings; emphasis on basic rhetorical methods. CLEP credit accepted. The Louisiana Statewide Common Course Catalog name and number for this course are CENL 1013: English Composition I.,CENL 1013,BPCC,,On Campus,,English,Yes,ENGL 099,150
102,ENGL,Composition & Rhetoric II,3,Introductory course in college writing including study of selected readings in literature with emphasis on developing critical essays and research skills. No CLEP accepted. The Louisiana Statewide Common Course Catalog name and number for this course are CENL 1023: English Composition II.,CENL 1023,BPCC,,On Campus,,English,Yes,ENGL 101,189
102,ENGL,Composition & Rhetoric II,3,Introductory course in college writing including study of selected readings in literature with emphasis on developing critical essays and research skills. No CLEP accepted. The Louisiana Statewide Common Course Catalog name and number for this course are CENL 1023: English Composition II.,CENL 1023,BPCC,,online,,English,Yes,ENGL 101,189
102,ENGL,Composition and Rhetoric II ,3,Introductory course in college writing including study of selected readings in literature with emphasis on developing critical essays and research skills. No CLEP accepted. The Louisiana Statewide Common Course Catalog name and number for this course are CENL 1023: English Composition II.,CENL 1023,BPCC,,On Campus,,English,Yes,ENGL 101,150
100,CTEC,Computer Concepts ,3,"An introduction to computer and online concepts. Students will use a variety of applications including, but not limited to, word processing, spreadsheets, databases, presentation software, and email.",,BPCC,,,,,,,284
100,CTEC,Computer Concepts ,3,"An introduction to computer and online concepts. Students will use a variety of applications including, but not limited to, word processing, spreadsheets, databases, presentation software, and email.",,BPCC,,,,,,,150
100,CTEC,Computer Concepts ,3,"An introduction to computer and online concepts. Students will use a variety of applications including, but not limited to, word processing, spreadsheets, databases, presentation software, and email.",,BPCC,,online,,,,,284
140,MUSC,Concert Band,1,"A diverse variety of band repertoire will be rehearsed and performed each term. Works to be studied will include, but not be limited to, orchestral transcriptions, original band and wind ensemble works, solos with band accompaniment, and section features. Instruction will also include coaching toward proper ensemble/individual performance techniques, sight reading, and rhythmic reading skills. Open to all students who have high school experience playing a traditional band instrument. (May be repeated for credit.)",,BPCC,,,,,,,75
148,MUSC,Concert Choir ,1,"A diverse variety of choir repertoire will be rehearsed and performed each term. Instruction will also include coaching toward proper ensemble/individual performance techniques, sight reading, and rhythmic reading skills. Open to all students. (May be repeated for credit.)",,BPCC,,,,,,,75
202,CJUS,Criminal Investigation,3,"Aspects of detective work, psychology in detective service, identification of individuals, sketching and photography, crime scenes, latent finger prints, footprints, tool markings, burglary investigation, robbery investigation, arson, sabotage, and collection and preservation of evidence.",,BPCC,,online,,,,,220
295,CJUS,Criminalistics ,3,A study of those fields of basic and applied science which have been specifically adapted to legal proof. Emphasis placed on the procedures used to examine both persons and physical evidence and the rules of admissibility applicable to the results of such procedures.,,BPCC,,,,,,,230
295,CJUS,Criminalistics ,3,A study of those fields of basic and applied science which have been specifically adapted to legal proof. Emphasis placed on the procedures used to examine both persons and physical evidence and the rules of admissibility applicable to the results of such procedures.,,BPCC,,online,,,,,230
220,PSYC,Developmental Psychology ,3,"Consideration of the physical, intellectual, emotional, and social process of development of the individual from conception though the entire life span. The Louisiana Statewide Common Course Catalog name and number for this course are CPSY 2113: Developmental Psychology.",CPSY 2113,BPCC,,On Campus,,,Yes,,150
220,PSYC,Developmental Psychology ,3,"Consideration of the physical, intellectual, emotional, and social process of development of the individual from conception though the entire life span. The Louisiana Statewide Common Course Catalog name and number for this course are CPSY 2113: Developmental Psychology.",CPSY 2113,BPCC,,On Campus,,,Yes,,150
220,PSYC,Developmental Psychology ,3,"Consideration of the physical, intellectual, emotional, and social process of development of the individual from conception though the entire life span. The Louisiana Statewide Common Course Catalog name and number for this course are CPSY 2113: Developmental Psychology.",CPSY 2113,BPCC,,online,,,Yes,,150
160,CULA,Dining Room Services ,1,"Students are introduced to front-of-the-house procedures from guest relations to basic dining room skills and table service. The students will perform dining room service functions using a variety of types of service. The course includes lecture, demonstration and food preparation.",,BPCC,,,,,,,50
103,ART,Drawing I ,3,"An introduction to fundamentals of basic drawing. Emphasis on skills, composition, and varied materials. The Louisiana Statewide Common Course Catalog name and number for this course are CART 2203: Beginning Drawing.",CART 2203,BPCC,,On Campus,,Art,Yes,,170
112,MUSC,Ear Training/Sight Singing ,1,"An elementary study and application of aural musical skills. Course includes study of melodic and harmonic dictation, rhythmic reading, and rhythmic diction. Sight singing drills are conducted. Solfeggio is introduced and developed. Computer-based music applications for ear-training drill will be introduced and utilized. Tests include melodic, harmonic, rhythmic, and error dictation.",,BPCC,,,,,,MUSC 100  COREQUISITE: MUSC 122,50
105,CDYC,Early Childhood Growth & Development,3,"This course focuses on topics of early development theories- ranging from theoretical discussions on development in the prenatal period to the cognitive, emotional, and social growth of newborns, infants and toddlers through 36 months. Current brain development during this “sensitive period” will be emphasized. Infant and toddler caregivers will gain knowledge about current developmentally appropriate practices (DAP) to provide the most effective, and nurturing care. It includes theorists: Erikson, Piaget, Vygotski, Maslow, Bandura, Brazelton, Greenspan, Ainsworth, Gerber, Pikler, Jensen and others.",,BPCC,,online,,,,READ 099,150
105,PHSC,Elemental Physics ,3,"A survey of concepts in physics, which includes basic concepts in motion, gravitation, energy transformation, heat, waves, sound and electricity. Graphic and algebraic solutions in problem solving are emphasized.The Louisiana Statewide Common Course Catalog name and number for this course are CPHY 1013: Intro to Concepts in Physics.",CPHY 1013,BPCC,,online,,,Yes,MATH 098,220
105,PHSC,Elemental Physics ,3,"A survey of concepts in physics, which includes basic concepts in motion, gravitation, energy transformation, heat, waves, sound and electricity. Graphic and algebraic solutions in problem solving are emphasized.The Louisiana Statewide Common Course Catalog name and number for this course are CPHY 1013: Intro to Concepts in Physics.",CPHY 1013,BPCC,,On Campus,,,Yes,,220
105L,PHSC,Elemental Physics  Lab ,1,Laboratory exercises that support and reinforce concepts taught in PHSC 105.,,BPCC,,,,,,PHSC 105,81
101,SPAN,Elementary Spanish I ,3,"This beginning course is for students who have no preparation in Spanish. It is a study of the fundamentals of Spanish grammar, with special emphasis given to aural-oral practice in the language, as well as a glimpse into Spanish culture. Grammar, conversation, aural comprehension, and elementary reading selections will be studied. The Louisiana Statewide Common Course Catalog name and number for this course are CSPN 1013 (3 Hr): Elementary Spanish I.",CSPN 1013,BPCC,,online,,Foreign Language,Yes,,244
102,SPAN,Elementary Spanish II ,3,"This second semester course is focused on creating sentences in present, past, future, conditional and other tenses, learning how to translate and how to formulate questions and answers. Students will also continue to study Spanish culture.The Louisiana Statewide Common Course Catalog name and number for this course are CSPN 1023 (3 Hr): Elementary Spanish II.",CSPN 1023,BPCC,,online,,Foreign Language,Yes,SPAN 101,244
105,BLGY,Elements of Biology ,3,"A survey of broad biological principles for non-science majors. The course topics include scientific method, biological molecules, cell structure and function, genetics, and evolution. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1013: General Biology I.",CBIO 1013,BPCC,,On Campus,,Biology/Science,Yes,,218
105,BLGY,Elements of Biology ,3,"A survey of broad biological principles for non-science majors. The course topics include scientific method, biological molecules, cell structure and function, genetics, and evolution. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1013: General Biology I.",CBIO 1013,BPCC,,online,,Biology/Science,Yes,,218
105L,BLGY,Elements of Biology I Lab ,1,Laboratory instruction designed to supplement BLGY 105 for non-science majors. Withdrawal from lecture mandates withdrawal from laboratory. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1011: General Biology I Lab.,CBIO 1011,BPCC,,On Campus,,,Yes,BLGY 105,86
105L,BLGY,Elements of Biology I Lab ,1,Laboratory instruction designed to supplement BLGY 105 for non-science majors. Withdrawal from lecture mandates withdrawal from laboratory. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1011: General Biology I Lab.,CBIO 1011,BPCC,,online,,,Yes,BLGY 105,86
106,BLGY,Elements of Biology II ,3,This course provides a sequence lecture course for BLGY 105 and is a survey of broad biological principles for non-science majors. Topics include evolution and biological diversity including a survey of the basic concepts and principles of the five kingdom classification and basic knowledge of anatomy and physiology of the human body. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1023: General Biology II.,CBIO 1023,BPCC,,On Campus,,Biology/Science,Yes,BLGY 105,218
106,BLGY,Elements of Biology II ,3,This course provides a sequence lecture course for BLGY 105 and is a survey of broad biological principles for non-science majors. Topics include evolution and biological diversity including a survey of the basic concepts and principles of the five kingdom classification and basic knowledge of anatomy and physiology of the human body. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1023: General Biology II.,CBIO 1023,BPCC,,online,,Biology/Science,Yes,BLGY 105,218
106L,BLGY,Elements of Biology II Lab ,1,Laboratory designed to supplement BLGY 106 for non-science majors. Withdrawal from lecture mandates withdrawal from laboratory. The Louisiana Statewide Common Course Catalog name and number for this course are CBIO 1021: General Biology II Lab.,CBIO 1021,BPCC,,On Campus,,,Yes,BLGY 106,86
100,EMTP,Emergency Medical Technician ,8,This course is designed to prepare the student to function compentently as an Emergency Medical Technician. The course also prepares the student to sit for the National Registry practical examinations which is requred to become an EMT in the State of Louisiana. The student will learn how to assess and treat patients with a variety of injuries or illnesses in the out-of-hospital environment.,,BPCC,,,,,,ACT of 16 in reading sub-area or appropriate BPCC placement test. Must be 18 years of age by the last day of class.,449
100,EMTP,Emergency Medical Technician ,8,This course is designed to prepare the student to function compentently as an Emergency Medical Technician. The course also prepares the student to sit for the National Registry practical examinations which is requred to become an EMT in the State of Louisiana. The student will learn how to assess and treat patients with a variety of injuries or illnesses in the out-of-hospital environment.,,BPCC,,,,,,ACT of 16 in reading sub-area or appropriate BPCC placement test. Must be 18 years of age by the last day of class.,449
100L,EMTP,EMT Lab,1,This course is designed to prepare the student to function competently as an Emergency Medical Technician. The course also prepares the student to sit for the National Registry practical examination which is required to become an EMT in the State of Louisiana. The student will learn how to assess and treat patients with a variety of injuries or illnesses in the out-of-hospital environmental.,,BPCC,,,,,,EMTP 100,116
100,ENGR,Engineering Fundamentals ,3,"A foundation course which outlines the basic principles of engineering, emphasizes problem solving, computer applications.",,BPCC,,,,,,MATH 102 OR MATH 111,355
107,BLGY,Environmental Science ,3,"This course includes an introduction to organism-environment interaction, especially humans and their environment. Exploration of contemporary issues in environmental science with an emphasis on man’s interaction with the Earth’s biological and physical resources. This course is also listed as PHSC 107. Students cannot receive credit for both BLGY 107 and PHSC 107. The Louisiana Statewide Common Course Catalog name and number for this course are CEVS 1103: Environmental Science.",CEVS 1103,BPCC,,online,,Environmental Science,Yes,,218
108,BADM,Finance ,3,"Instruction in budgeting, credit, investment, insurance, real estate, and other areas of money management. A study of the methods of financing, including sources and applications of funds, net worth statement analysis, financial planning, cash flow statement analysis, stocks, bonds, mutual funds, time value of money, and basic risk analysis. The Louisiana Statewide Common Course Catalog name and number for this course are CFIN 2113: Personal Finance.",CFIN 2113,BPCC,,On Campus,,,Yes,,250
108,BADM,Finance ,3,"Instruction in budgeting, credit, investment, insurance, real estate, and other areas of money management. A study of the methods of financing, including sources and applications of funds, net worth statement analysis, financial planning, cash flow statement analysis, stocks, bonds, mutual funds, time value of money, and basic risk analysis. The Louisiana Statewide Common Course Catalog name and number for this course are CFIN 2113: Personal Finance.",CFIN 2113,BPCC,,online,,,Yes,,250
114,MATH,Finite Math,3,"Systems of linear equations, matices, and matrix algebra; linear inequalities; linear programming; counting techniques; permutations and combinations; probability; basic concepts in financial mathematics (annuities included); and an introduction to statistics. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 1313: Finite Mathematics.",CMAT 1313,BPCC,,online,,,Yes,MATH 102,250
114,MATH,Finite Math ,3,"Systems of linear equations, matices, and matrix algebra; linear inequalities; linear programming; counting techniques; permutations and combinations; probability; basic concepts in financial mathematics (annuities included); and an introduction to statistics. The Louisiana Statewide Common Course Catalog name and number for this course are CMAT 1313: Finite Mathematics.",CMAT 1313,BPCC,,On Campus,,,Yes,MATH 102,250
221,HLPE,First Aid ,3,"Lectures, discussion, and practical demonstrations of first aid.",,BPCC,,,,,,,170
221,HLPE,First Aid ,3,"Lectures, discussion, and practical demonstrations of first aid.",,BPCC,,online,,,,,170
101,SCI,Foundations in Science I ,3,A survey course in physics and the physical sciences for non-science majors. The Louisiana Statewide Common Course Catalog name and number for this course are CPHY 1023: Physical Science I.,CPHY 1023,BPCC,,On Campus,,Physical Science,Yes,,150
101,SCI,Foundations in Science I ,3,A survey course in physics and the physical sciences for non-science majors. The Louisiana Statewide Common Course Catalog name and number for this course are CPHY 1023: Physical Science I.,CPHY 1023,BPCC,,online,,Physical Science,Yes,,150
102,SCI,Foundations in Science II ,3,A continuation of the survey of physical sciences for non-science majors including topics in chemistry and geology. The Louisiana Statewide Common Course Catalog name and number for this course are CPHY 1033: Physical Science II,CPHY 1033,BPCC,,On Campus,,,Yes,,150
102,SCI,Foundations in Science II ,3,A continuation of the survey of physical sciences for non-science majors including topics in chemistry and geology. The Louisiana Statewide Common Course Catalog name and number for this course are CPHY 1033: Physical Science II,CPHY 1033,BPCC,,online,,,Yes,,150
101,CDYC,Foundations of Erly Chldhd Dev ,3,"This course provides an overview of Early Childhood, including personal and professional growth and development, ethical standards, learning theories, principles of child development and learning, developmentally appropriate practices, working with families, and current issues and trends in Early Childhood Education.",,BPCC,,,,,,,150
101,CDYC,Foundations of Erly Chldhd Dev ,3,"This course provides an overview of Early Childhood, including personal and professional growth and development, ethical standards, learning theories, principles of child development and learning, developmentally appropriate practices, working with families, and current issues and trends in Early Childhood Education.",,BPCC,,,,,,,150
99,ENGL,Fundamentals of Composition,3,"Introduces students to the writing process and gives extended practice in developing expository methods, especially emphasizing revising and editing. Concentrates on multi-paragraph essays. Emphasizes grammar and mechanics to reinforce writing.
Note: May not be used to satisfy the English or elective requirement in any curriculum at BPCC.",,BPCC,,,,,,,225
99,ENGL,Fundamentals of Composition ,3,"Introduces students to the writing process and gives extended practice in developing expository methods, especially emphasizing revising and editing. Concentrates on multi-paragraph essays. Emphasizes grammar and mechanics to reinforce writing.
Note: May not be used to satisfy the English or elective requirement in any curriculum at BPCC.",,BPCC,,online,,,,,225
99,ENGL,Fundamentals of Composition,3,"Introduces students to the writing process and gives extended practice in developing expository methods, especially emphasizing revising and editing. Concentrates on multi-paragraph essays. Emphasizes grammar and mechanics to reinforce writing.
Note: May not be used to satisfy the English or elective requirement in any curriculum at BPCC.",,BPCC,,,,,,,150
105,BADM,Gen. Business Administration ,3,"A survey of business, introducing the major operations of a business, including production, marketing, finance, and management. The course also examines the economic, social, and political environment of business and prepares the student for further collegiate education in business. The Louisiana Statewide Common Course Catalog name and number for this course are CBUS 1003: General/Intro to Business Administration.",CBUS 1003,BPCC,,On Campus,,,Yes,,250
